factor_index,factor_variance,polarity,polarity_rank,movie_id,title,genres,factor_loading
10,0.016143692096052233,positive,1,2888,Drive Me Crazy (1999),Comedy|Romance,0.500413715839386
10,0.016143692096052233,positive,2,2496,Blast from the Past (1999),Comedy|Romance,0.479062557220459
10,0.016143692096052233,positive,3,3225,Down to You (2000),Comedy|Romance,0.47625768184661865
10,0.016143692096052233,positive,4,3156,Bicentennial Man (1999),Comedy|Drama|Sci-Fi,0.4687965512275696
10,0.016143692096052233,positive,5,1858,Mr. Nice Guy (1997),Action|Comedy,0.4504844546318054
10,0.016143692096052233,positive,6,3865,"Original Kings of Comedy, The (2000)",Comedy|Documentary,0.4328138530254364
10,0.016143692096052233,positive,7,3943,Bamboozled (2000),Comedy,0.42838841676712036
10,0.016143692096052233,positive,8,3325,"Next Best Thing, The (2000)",Comedy|Drama,0.42680516839027405
10,0.016143692096052233,negative,1,2712,Eyes Wide Shut (1999),Drama,-0.5010364055633545
10,0.016143692096052233,negative,2,1173,"Cook the Thief His Wife & Her Lover, The (1989)",Drama,-0.4249504506587982
10,0.016143692096052233,negative,3,968,Night of the Living Dead (1968),Horror|Sci-Fi,-0.42286813259124756
10,0.016143692096052233,negative,4,1258,"Shining, The (1980)",Horror,-0.41203996539115906
10,0.016143692096052233,negative,5,1089,Reservoir Dogs (1992),Crime|Thriller,-0.38461822271347046
10,0.016143692096052233,negative,6,1345,Carrie (1976),Horror,-0.37001872062683105
10,0.016143692096052233,negative,7,1997,"Exorcist, The (1973)",Horror,-0.3579918444156647
10,0.016143692096052233,negative,8,1982,Halloween (1978),Horror,-0.354449599981308
29,0.015779446675685677,positive,1,2660,"Thing From Another World, The (1951)",Sci-Fi,0.5448632836341858
29,0.015779446675685677,positive,2,1301,Forbidden Planet (1956),Sci-Fi,0.4916279911994934
29,0.015779446675685677,positive,3,1984,Halloween III: Season of the Witch (1983),Horror,0.4820461869239807
29,0.015779446675685677,positive,4,2664,Invasion of the Body Snatchers (1956),Horror|Sci-Fi,0.4771662950515747
29,0.015779446675685677,positive,5,1232,Stalker (1979),Mystery|Sci-Fi,0.4687170684337616
29,0.015779446675685677,positive,6,2287,Them! (1954),Sci-Fi|Thriller|War,0.44386550784111023
29,0.015779446675685677,positive,7,567,Kika (1993),Drama,0.4296320974826813
29,0.015779446675685677,positive,8,3544,Shakes the Clown (1991),Comedy,0.4113770127296448
29,0.015779446675685677,negative,1,2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,-0.511145830154419
29,0.015779446675685677,negative,2,1378,Young Guns (1988),Action|Comedy|Western,-0.441751092672348
29,0.015779446675685677,negative,3,1379,Young Guns II (1990),Action|Comedy|Western,-0.4342576265335083
29,0.015779446675685677,negative,4,288,Natural Born Killers (1994),Action|Thriller,-0.39782556891441345
29,0.015779446675685677,negative,5,266,Legends of the Fall (1994),Drama|Romance|War|Western,-0.37969234585762024
29,0.015779446675685677,negative,6,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,-0.37393996119499207
29,0.015779446675685677,negative,7,2232,Cube (1997),Sci-Fi|Thriller,-0.37277013063430786
29,0.015779446675685677,negative,8,1586,G.I. Jane (1997),Action|Drama|War,-0.35774633288383484
101,0.015330642610817848,positive,1,1353,"Mirror Has Two Faces, The (1996)",Comedy|Romance,0.500228226184845
101,0.015330642610817848,positive,2,1376,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,0.39955925941467285
101,0.015330642610817848,positive,3,1592,Air Bud (1997),Children's|Comedy,0.388980895280838
101,0.015330642610817848,positive,4,105,"Bridges of Madison County, The (1995)",Drama|Romance,0.3804570138454437
101,0.015330642610817848,positive,5,1721,Titanic (1997),Drama|Romance,0.3801209628582001
101,0.015330642610817848,positive,6,3928,Abbott and Costello Meet Frankenstein (1948),Comedy|Horror,0.37391260266304016
101,0.015330642610817848,positive,7,1021,Angels in the Outfield (1994),Children's|Comedy,0.37193578481674194
101,0.015330642610817848,positive,8,656,Eddie (1996),Comedy,0.35967087745666504
101,0.015330642610817848,negative,1,3262,Twin Peaks: Fire Walk with Me (1992),Drama|Mystery,-0.5547112822532654
101,0.015330642610817848,negative,2,288,Natural Born Killers (1994),Action|Thriller,-0.5174493193626404
101,0.015330642610817848,negative,3,482,Killing Zoe (1994),Thriller,-0.4851016700267792
101,0.015330642610817848,negative,4,3569,"Idiots, The (Idioterne) (1998)",Comedy|Drama,-0.479388028383255
101,0.015330642610817848,negative,5,532,Serial Mom (1994),Comedy|Crime|Horror,-0.4374035596847534
101,0.015330642610817848,negative,6,223,Clerks (1994),Comedy,-0.422224223613739
101,0.015330642610817848,negative,7,1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,-0.40371355414390564
101,0.015330642610817848,negative,8,180,Mallrats (1995),Comedy,-0.4030721187591553
